IT,Window,Center,Area-202,Area-203,Std-202,Std-203
1,2,199.1777013,0,0,0,0
1,2,199.2777013,0,0,0,0
1,2,199.3777013,0,0,0,0
1,2,199.4777013,0,0,0,0
1,2,199.5777013,0,0,0,0
1,2,199.6777013,0,0,0,0
1,2,199.7777013,0,0,0,0
1,2,199.8777013,30.01259155,25.8051178,60.02518311,51.6102356
1,2,199.9777013,0,0,0,0
1,2,200.0777013,0,0,0,0
1,2,200.1777013,0,0,0,0
1,2,200.2777013,0,25.3541214,0,50.7082428
1,2,200.3777013,0,0,0,0
1,2,200.4777013,0,27.65053711,0,55.30107422
1,2,200.5777013,0,0,0,0
1,2,200.6777013,0,0,0,0
1,2,200.7777013,0,0,0,0
1,2,200.8777013,0,0,0,0
1,2,200.9777013,262.0364319,33.53959351,179.3318238,67.07918701
1,2,201.0777013,3264.072144,0,1042.442945,0
1,2,201.1777013,13916.12793,39.29215088,978.2623064,78.58430176
1,2,201.2777013,23684.85547,47.271521,974.8904025,94.54304199
1,2,201.3777013,34339.82813,0,4213.542695,0
1,2,201.4777013,37852.95313,0,1809.722446,0
1,2,201.5777013,46027.69766,0,1801.109959,0
1,2,201.6777013,52943.95078,0,1091.366355,0
1,2,201.7777013,59635.62578,0,1816.220565,0
1,2,201.8777013,71236.40469,0,6349.249361,0
1,2,201.9777013,72063.04063,0,2839.475285,0
1,2,202.0777013,71660.80781,501.886377,1010.182323,176.9279683
1,2,202.1777013,68353.03281,2627.241455,1424.521017,179.9759954
1,2,202.2777013,67288.67578,4273.704199,1139.024649,335.4753757
1,2,202.3777013,64148.66719,6552.708301,1133.55419,180.3972964
1,2,202.4777013,57237.31563,7689.794043,1167.641815,505.7659041
1,2,202.5777013,52493.20156,9645.247266,700.1612016,511.8088784
1,2,202.6777013,48170.50938,11637.35645,2385.305898,460.1284012
1,2,202.7777013,43216.17578,14102.47168,3176.226001,1102.234686
1,2,202.8777013,33651.45313,15011.66035,865.6631852,105.6662317
1,2,202.9777013,28877.13047,16489.95313,3028.562825,1023.070564
